DAY,AVERAGE of ARRIVAL_DELAY,AVERAGE of DEPARTURE_DELAY,,AIRLINE,COUNTA of FLIGHT_NUMBER,COUNTA of FLIGHT_NUMBER,AVERAGE of DEPARTURE_DELAY,AVERAGE of ARRIVAL_DELAY,,,
Friday,6.065189048,9.363754889,,AA,452,9.38%,8.557522124,5.338495575,,Total Flights,4819
Monday,11.31938633,14.33612273,,AS,131,2.72%,2.305343511,-0.9770992366,,Total Airlines,14
Saturday,2.123728814,7.688135593,,B6,222,4.61%,13.69369369,11.76126126,,,
Sunday,7.561889251,11.73127036,,DL,698,14.48%,6.214899713,-0.8581661891,,worse airline,WN
Thursday,2.617449664,6.90738255,,EV,492,10.21%,11.42073171,10.23780488,,,
Tuesday,5.34375,9.227678571,,F9,67,1.39%,18.53731343,19.02985075,,Highest Share,20.98062016
Wednesday,5.406162465,9.151260504,,HA,78,1.62%,1.948717949,5.858974359,,,
Grand Total,5.82382237,9.769869267,,MQ,258,5.35%,19.58139535,20.98062016,,,
,,,,NK,89,1.85%,11.50561798,11.52808989,,Top 5 ,
,,,,OO,475,9.86%,14.10105263,12.67368421,,VX,-3.148148148
,,,,UA,391,8.11%,14.34015345,5.148337596,,AS,-0.9770992366
,,,,US,337,6.99%,6.133531157,3.893175074,,DL,-0.8581661891
,,,,VX,54,1.12%,4.055555556,-3.148148148,,WN,1.288372093
,,,,WN,1075,22.31%,7.305116279,1.288372093,,US,3.893175074
,,,,Grand Total,4819,100.00%,9.769869267,5.82382237,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,Delayed arrival flights per airline,,,ontime arrival flights per airline,,
,,,,,,AIRLINE,COUNT of ARRIVAL_DELAY,,AIRLINE,COUNT of OnTime_Arrival,
,,,,,,AA,185,,AA,267,
,,,,,,AS,49,,AS,82,
,,,,,,B6,98,,B6,124,
ORIGIN_AIRPORT,AVERAGE of ARRIVAL_DELAY,AVERAGE of DEPARTURE_DELAY,,,,DL,190,,DL,508,
ABE,0.5,-2.5,,,,EV,211,,EV,281,
ABI,24.5,27.5,,,,F9,34,,F9,33,
ABQ,8.444444444,9.666666667,,,,HA,39,,HA,39,
ABY,-12,-6,,,,MQ,149,,MQ,109,
ACT,12,18,,,,NK,48,,NK,41,
ACV,-9,-1,,,,OO,201,,OO,274,
ACY,-14,-6,,,,UA,145,,UA,246,
ADQ,0.5,1,,,,US,128,,US,209,
AEX,1.5,-0.5,,,,VX,17,,VX,37,
AGS,9.5,3.5,,,,WN,397,,WN,678,
