DATE,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DAY,MONTH
01/30/2015,UA,12,N57868,SFO,IAD,1300,1303,3,16,1319,299,297,273,2419,2052,8,2059,2100,1,Friday,Jan
01/09/2015,UA,223,N440UA,MIA,IAH,1812,1829,17,12,1841,178,168,146,964,2007,10,2010,2017,7,Friday,Jan
01/28/2015,DL,2048,N969DL,DTW,LGA,1005,1001,-4,12,1013,111,102,78,502,1131,12,1156,1143,-13,Wednesday,Jan
02/09/2015,WN,217,N930WN,ROC,MDW,545,542,-3,48,630,130,141,90,523,700,3,655,703,8,Monday,Feb
02/03/2015,OO,5312,N970SW,ORD,CMX,1013,1012,-1,32,1044,86,100,63,359,1247,5,1239,1252,13,Tuesday,Feb
01/15/2015,WN,2957,N630WN,BWI,FLL,1755,1828,33,10,1838,165,157,144,925,2102,3,2040,2105,25,Thursday,Jan
01/21/2015,WN,4922,N787SA,LAS,RNO,905,903,-2,14,917,80,78,61,345,1018,3,1025,1021,-4,Wednesday,Jan
01/10/2015,UA,370,N547UA,SFO,OGG,838,836,-2,14,850,335,322,303,2338,1153,5,1213,1158,-15,Saturday,Jan
01/16/2015,WN,227,N916WN,MSP,STL,1910,1932,22,13,1945,90,79,62,448,2047,4,2040,2051,11,Friday,Jan
01/02/2015,EV,5413,N135EV,ATL,HSV,1145,1234,49,16,1250,56,59,38,151,1228,5,1141,1233,52,Friday,Jan
01/26/2015,DL,1881,N371NB,CVG,ATL,1615,1610,-5,14,1624,95,95,68,373,1732,13,1750,1745,-5,Monday,Jan
01/05/2015,B6,154,N556JB,PBI,JFK,600,602,2,11,613,154,137,121,1028,814,5,834,819,-15,Monday,Jan
01/30/2015,OO,4977,N753SK,MTJ,ORD,1235,1301,26,9,1310,165,149,134,1081,1624,6,1620,1630,10,Friday,Jan
02/08/2015,AA,1137,N012AA,IAD,MIA,1719,1725,6,16,1741,171,165,130,921,1951,19,2010,2010,0,Sunday,Feb
01/13/2015,OO,4594,N779CA,CVG,BNA,2004,2000,-4,11,2011,70,62,46,230,1957,5,2014,2002,-12,Tuesday,Jan
