DATE,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DAY,MONTH
01/30/2015,UA,12,N57868,SFO,IAD,1:00:00 PM,1:03:00 PM,3,16,1:19:00 PM,299,297,273,2419,8:52:00 PM,8,8:59:00 PM,9:00:00 PM,1,Friday,Jan
01/09/2015,UA,223,N440UA,MIA,IAH,6:12:00 PM,6:29:00 PM,17,12,6:41:00 PM,178,168,146,964,8:07:00 PM,10,8:10:00 PM,8:17:00 PM,7,Friday,Jan
01/28/2015,DL,2048,N969DL,DTW,LGA,10:05:00 AM,10:01:00 AM,-4,12,10:13:00 AM,111,102,78,502,11:31:00 AM,12,11:56:00 AM,11:43:00 AM,-13,Wednesday,Jan
02/09/2015,WN,217,N930WN,ROC,MDW,6:45:00 AM,6:42:00 AM,-3,48,3:30:00 PM,130,141,90,523,10:00:00 PM,3,5:55:00 PM,10:03:00 PM,8,Monday,Feb
02/03/2015,OO,5312,N970SW,ORD,CMX,10:13:00 AM,10:12:00 AM,-1,32,10:44:00 AM,86,100,63,359,12:47:00 PM,5,12:39:00 PM,12:52:00 PM,13,Tuesday,Feb
01/15/2015,WN,2957,N630WN,BWI,FLL,5:55:00 PM,6:28:00 PM,33,10,6:38:00 PM,165,157,144,925,9:02:00 PM,3,8:40:00 PM,9:05:00 PM,25,Thursday,Jan
01/21/2015,WN,4922,N787SA,LAS,RNO,6:05:00 PM,6:03:00 PM,-2,14,7:17:00 PM,80,78,61,345,10:18:00 AM,3,10:25:00 AM,10:21:00 AM,-4,Wednesday,Jan
01/10/2015,UA,370,N547UA,SFO,OGG,11:38:00 AM,11:36:00 AM,-2,14,1:50:00 PM,335,322,303,2338,11:53:00 AM,5,12:13:00 PM,11:58:00 AM,-15,Saturday,Jan
01/16/2015,WN,227,N916WN,MSP,STL,7:10:00 PM,7:32:00 PM,22,13,7:45:00 PM,90,79,62,448,8:47:00 PM,4,8:40:00 PM,8:51:00 PM,11,Friday,Jan
01/02/2015,EV,5413,N135EV,ATL,HSV,11:45:00 AM,12:34:00 PM,49,16,12:50:00 PM,56,59,38,151,12:28:00 PM,5,11:41:00 AM,12:33:00 PM,52,Friday,Jan
01/26/2015,DL,1881,N371NB,CVG,ATL,4:15:00 PM,4:10:00 PM,-5,14,4:24:00 PM,95,95,68,373,5:32:00 PM,13,5:50:00 PM,5:45:00 PM,-5,Monday,Jan
01/05/2015,B6,154,N556JB,PBI,JFK,12:00:00 PM,12:02:00 PM,2,11,1:13:00 PM,154,137,121,1028,9:14:00 AM,5,11:34:00 AM,9:19:00 AM,-15,Monday,Jan
01/30/2015,OO,4977,N753SK,MTJ,ORD,12:35:00 PM,1:01:00 PM,26,9,1:10:00 PM,165,149,134,1081,4:24:00 PM,6,4:20:00 PM,4:30:00 PM,10,Friday,Jan
02/08/2015,AA,1137,N012AA,IAD,MIA,5:19:00 PM,5:25:00 PM,6,16,5:41:00 PM,171,165,130,921,7:51:00 PM,19,8:10:00 PM,8:10:00 PM,0,Sunday,Feb
01/13/2015,OO,4594,N779CA,CVG,BNA,8:04:00 PM,8:00:00 PM,-4,11,8:11:00 PM,70,62,46,230,7:57:00 PM,5,8:14:00 PM,8:02:00 PM,-12,Tuesday,Jan
01/15/2015,WN,1517,N913WN,BOI,GEG,10:05:00 PM,10:04:00 PM,-1,11,11:15:00 PM,70,60,45,287,10:00:00 PM,4,11:15:00 PM,10:04:00 PM,-11,Thursday,Jan
01/03/2015,MQ,2878,N518MQ,DFW,CID,8:30:00 PM,8:42:00 PM,12,9,8:51:00 PM,108,105,83,685,10:14:00 PM,13,10:18:00 PM,10:27:00 PM,9,Saturday,Jan
01/29/2015,EV,5467,N856AS,ATL,XNA,11:24:00 AM,11:18:00 AM,-6,13,11:31:00 AM,120,119,103,589,12:14:00 PM,3,12:24:00 PM,12:17:00 PM,-7,Thursday,Jan
02/04/2015,AA,147,N4UCAA,DFW,SLC,9:05:00 PM,9:10:00 PM,5,13,9:23:00 PM,169,168,152,989,10:55:00 PM,3,10:54:00 PM,10:58:00 PM,4,Wednesday,Feb
01/20/2015,DL,1158,N3740C,MCO,SLC,5:10:00 PM,5:11:00 PM,1,9,5:20:00 PM,294,298,285,1931,8:05:00 PM,4,8:04:00 PM,8:09:00 PM,5,Tuesday,Jan
01/05/2015,HA,1,N399HA,LAX,HNL,12:40:00 PM,11:38:00 AM,-2,12,1:50:00 PM,345,350,333,2556,12:23:00 PM,5,12:25:00 PM,12:28:00 PM,3,Monday,Jan
02/05/2015,NK,138,N621NK,MCO,ACY,10:42:00 AM,10:50:00 AM,8,12,11:02:00 AM,128,118,101,852,12:43:00 PM,5,12:50:00 PM,12:48:00 PM,-2,Thursday,Feb
01/14/2015,EV,5783,N11165,IAH,LFT,2:40:00 AM,1:36:00 AM,-4,19,3:55:00 AM,58,61,32,201,10:27:00 AM,10,11:38:00 AM,11:37:00 AM,-1,Wednesday,Jan
01/23/2015,US,406,N664AW,PHX,DTW,11:50:00 PM,11:50:00 PM,0,27,10:17:00 AM,235,256,215,1671,3:52:00 PM,14,3:45:00 PM,4:06:00 PM,21,Friday,Jan
01/12/2015,WN,943,N778SW,TPA,HOU,6:00:00 PM,6:25:00 PM,25,15,6:40:00 PM,150,141,120,781,7:40:00 PM,6,7:30:00 PM,7:46:00 PM,16,Monday,Jan
02/03/2015,WN,1803,N733SA,DEN,MCO,11:45:00 AM,11:46:00 AM,1,12,11:58:00 AM,205,193,174,1546,4:52:00 PM,7,5:10:00 PM,4:59:00 PM,-11,Tuesday,Feb
02/03/2015,OO,5496,N751SK,LAX,MSP,10:10:00 AM,10:04:00 AM,-6,27,10:31:00 AM,219,225,189,1535,3:40:00 PM,9,3:49:00 PM,3:49:00 PM,0,Tuesday,Feb
02/10/2015,US,1808,N555AY,ATL,CLT,10:40:00 AM,10:36:00 AM,-4,19,10:55:00 AM,78,84,46,226,11:41:00 AM,19,11:58:00 AM,12:00:00 PM,2,Tuesday,Feb
01/11/2015,DL,815,N961DL,ATL,SYR,8:35:00 PM,8:59:00 PM,24,25,9:24:00 PM,131,128,98,794,11:02:00 PM,5,10:46:00 PM,11:07:00 PM,21,Sunday,Jan
02/10/2015,OO,6400,N767SK,EUG,SFO,10:25:00 AM,9:19:00 AM,-6,8,10:27:00 AM,95,82,71,451,9:38:00 PM,3,10:00:00 AM,10:41:00 PM,-19,Tuesday,Feb
01/05/2015,WN,373,N617SW,BNA,RDU,7:15:00 PM,7:16:00 PM,1,9,7:25:00 PM,80,77,64,442,9:29:00 PM,4,9:35:00 PM,9:33:00 PM,-2,Monday,Jan
02/05/2015,WN,436,N788SA,CMH,TPA,3:25:00 PM,3:25:00 PM,0,8,3:33:00 PM,140,131,118,829,5:31:00 PM,5,5:45:00 PM,5:36:00 PM,-9,Thursday,Feb
01/23/2015,OO,6192,N905SW,DEN,SBA,11:38:00 AM,11:33:00 AM,-5,19,11:52:00 AM,160,155,132,916,1:04:00 PM,4,1:18:00 PM,1:08:00 PM,-10,Friday,Jan
01/14/2015,WN,3479,N700GS,SJC,ONT,11:45:00 AM,11:39:00 AM,-6,7,11:46:00 AM,70,65,54,333,12:40:00 PM,4,12:55:00 PM,12:44:00 PM,-11,Wednesday,Jan
01/23/2015,WN,2779,N734SA,MDW,FLL,12:00:00 PM,12:00:00 PM,0,10,1:10:00 PM,185,179,165,1166,11:55:00 PM,4,10:05:00 AM,11:59:00 PM,-6,Friday,Jan
01/03/2015,DL,2401,N917DN,BOS,ATL,6:07:00 PM,6:04:00 PM,-3,38,6:42:00 PM,188,203,157,946,9:19:00 PM,8,9:15:00 PM,9:27:00 PM,12,Saturday,Jan
02/10/2015,DL,2308,N958DL,ATL,SDF,1:40:00 PM,1:46:00 PM,6,19,2:05:00 PM,82,78,55,321,3:00:00 PM,4,3:02:00 PM,3:04:00 PM,2,Tuesday,Feb
01/28/2015,AA,1464,N3FUAA,DFW,TUL,8:55:00 PM,9:03:00 PM,8,13,9:16:00 PM,59,56,41,237,9:57:00 PM,2,9:54:00 PM,9:59:00 PM,5,Wednesday,Jan
01/16/2015,UA,1037,N77518,ORD,LAX,12:06:00 PM,12:07:00 PM,1,15,12:22:00 PM,275,246,224,1744,2:06:00 PM,7,2:41:00 PM,2:13:00 PM,-28,Friday,Jan
01/07/2015,EV,4092,N13913,IAH,ABQ,2:49:00 PM,2:47:00 PM,-2,18,3:05:00 PM,141,138,113,744,3:58:00 PM,7,4:10:00 PM,4:05:00 PM,-5,Wednesday,Jan
01/02/2015,DL,1246,N922DL,ATL,BWI,4:15:00 PM,4:14:00 PM,-1,13,4:27:00 PM,108,92,72,577,5:39:00 PM,7,6:03:00 PM,5:46:00 PM,-17,Friday,Jan
01/15/2015,AA,55,N3JTAA,ORD,LAS,6:45:00 PM,6:49:00 PM,4,12,7:01:00 PM,236,225,206,1514,8:27:00 PM,7,8:41:00 PM,8:34:00 PM,-7,Thursday,Jan
01/29/2015,F9,1053,N920FR,SLC,PHX,3:15:00 PM,2:57:00 PM,-18,13,3:10:00 PM,100,100,80,507,4:30:00 PM,7,4:55:00 PM,4:37:00 PM,-18,Thursday,Jan
01/13/2015,MQ,3043,N640MQ,ORD,FNT,11:20:00 AM,12:01:00 PM,41,14,12:15:00 PM,61,52,36,223,1:51:00 PM,2,1:21:00 PM,1:53:00 PM,32,Tuesday,Jan
01/07/2015,WN,172,N371SW,MCO,ATL,10:45:00 PM,11:52:00 PM,7,10,10:02:00 AM,105,84,66,404,11:08:00 AM,8,11:30:00 AM,11:16:00 AM,-14,Wednesday,Jan
